BndEquGlat BndEquMlat BndEquMlon BndGlon BndPolGlat BndPolMlat BndPolMlon date minTecGlat minTecMlat minTecMlon minTecVal
55.0 53.4060219275 -102.552519969 -164.0 64.0 62.627863277 -106.479565755 "2011-02-05 02:27:30" 59.0 57.4888707373 -104.051745026 6.35
54.0 52.5455733363 -101.388585436 -163.0 64.0 62.7677355962 -105.692000591 "2011-02-05 02:27:30" 60.0 58.6611521014 -103.673693011 5.5
43.0 53.8532146071 -23.9951439142 -94.0 50.0 60.5805610276 -24.4698254179 "2011-02-05 02:27:30" 47.0 57.7008437143 -24.2376187691 4.8
43.0 53.9274283194 -22.6027171776 -93.0 50.0 60.646120775 -23.01160249 "2011-02-05 02:27:30" 47.0 57.7698216488 -22.8085894095 2.4
41.0 50.3580088587 13.2196854282 -67.0 51.0 60.116061612 14.4510755122 "2011-02-05 02:27:30" 47.0 56.1989974189 13.9162856218 2.2
41.0 50.1637963806 14.5023918442 -66.0 51.0 59.9531744761 15.765579349 "2011-02-05 02:27:30" 47.0 56.0239822182 15.2129059761 2.45
53.0 50.2223614943 94.5067766733 18.0 60.0 57.7606977877 96.930423641 "2011-02-05 02:27:30" 57.0 54.5793266498 95.7773494682 3.2
44.0 53.9297811006 8.2858294209 -71.0 57.0 66.4791700092 9.86125248538 "2011-02-05 02:27:30" 49.0 58.7680680861 8.82239002961 2.85
44.0 53.6148363127 10.9443568653 -69.0 52.0 61.3961586922 11.9144359899 "2011-02-05 02:27:30" 48.0 57.5024270258 11.4026099929 2.2
38.0 47.7943155793 -36.7389518816 -104.0 44.0 53.6431623545 -37.5525359441 "2011-02-05 02:27:30" 40.0 49.7399057842 -36.9968031941 3.35
39.0 48.9207805868 -35.6087303211 -103.0 45.0 54.7661162591 -36.3918020577 "2011-02-05 02:27:30" 42.0 51.8402348681 -35.983460421 3.7
44.0 54.6684254709 0.0675436791798 -77.0 56.0 66.1348814676 0.962870490888 "2011-02-05 02:27:30" 49.0 59.4589370842 0.436561296021 3.1
44.0 54.568089759 1.45948030844 -76.0 56.0 66.051082867 2.45139762561 "2011-02-05 02:27:30" 49.0 59.3644164791 1.8602211423 2.9
40.0 49.5830831676 11.8180351307 -68.0 51.0 60.2730361449 13.1223795028 "2011-02-05 02:27:30" 48.0 57.3436624161 12.7293904784 2.35
51.0 48.1305778653 86.1877275942 9.0 56.0 53.8326353657 87.8101231698 "2011-02-05 02:27:30" 54.0 51.5880933619 87.1105632396 2.3
51.0 48.1044339119 87.0382432985 10.0 56.0 53.7865540092 88.6462630788 "2011-02-05 02:27:30" 54.0 51.5489522838 87.9528161228 2.5
55.0 52.562492807 -107.455875402 -170.0 64.0 61.8455074522 -111.134297909 "2011-02-05 02:27:30" 58.0 55.6369585017 -108.467830018 6.8
54.0 51.6796650422 -106.337334064 -169.0 63.0 60.9338793438 -109.839942297 "2011-02-05 02:27:30" 58.0 55.7673055109 -107.671461186 6.7
42.0 50.7290322395 17.1464916053 -64.0 52.0 60.5979618466 18.5149342133 "2011-02-05 02:27:30" 47.0 55.6549010402 17.7660613669 2.2
45.0 52.3806948549 24.8128207878 -58.0 51.0 58.4695277837 25.7546190238 "2011-02-05 02:27:30" 48.0 55.4282205413 25.2460474147 2.6
44.0 53.7763452675 9.62068734835 -70.0 52.0 61.537969405 10.5514844747 "2011-02-05 02:27:30" 49.0 58.6258045194 10.1797500883 2.5
42.0 50.5150206539 18.3939924717 -63.0 50.0 58.4398575072 19.4616712485 "2011-02-05 02:27:30" 47.0 55.4613175613 19.0222292867 2.1
42.0 50.2936498043 19.6287614342 -62.0 54.0 62.2250875502 21.4282132084 "2011-02-05 02:27:30" 47.0 55.2620241683 20.2645967318 2.1
44.0 52.0574597541 21.0929813286 -61.0 55.0 63.0390356981 22.8961415758 "2011-02-05 02:27:30" 49.0 57.0595083793 21.7908532561 2.1
43.0 53.2523066724 5.4889849873 -73.0 50.0 59.9953716245 6.1726170528 "2011-02-05 02:27:30" 48.0 58.0651489866 5.97140605541 2.4
44.0 54.0749232805 6.9401929468 -72.0 51.0 60.8363457697 7.67131411314 "2011-02-05 02:27:30" 49.0 58.9030116951 7.45269477761 3.1
55.0 52.3958927559 95.9739593496 19.0 71.0 68.8733129315 104.473620064 "2011-02-05 02:27:30" 66.0 63.8904642108 100.778676475 3.6
51.0 48.4599592275 79.4933397311 1.0 56.0 54.3006279868 81.2019045202 "2011-02-05 02:27:30" 53.0 50.8400736771 80.1243095036 1.6
50.0 47.3018046774 78.3759113973 0.0 57.0 55.5005313554 80.7841580474 "2011-02-05 02:27:30" 53.0 50.9042885788 79.3021869297 3.05
52.0 49.3660882599 84.7930297691 7.0 59.0 57.2318399642 87.3607512894 "2011-02-05 02:27:30" 56.0 53.9326782434 86.14519825 2.5
52.0 49.4494508384 83.1182313356 5.0 68.0 66.7912702744 91.0307063133 "2011-02-05 02:27:30" 58.0 56.2644469228 85.2891737237 1.95
51.0 48.4060530156 80.3203798823 2.0 69.0 68.0452790663 89.5171000038 "2011-02-05 02:27:30" 55.0 53.0949576385 81.6449712806 0.8
52.0 49.4061309475 83.9542087628 6.0 60.0 58.3741058836 86.9944181308 "2011-02-05 02:27:30" 57.0 55.1004253062 85.7030012822 1.9
51.0 48.3559992943 81.1499867655 3.0 69.0 67.9623783693 90.2948067407 "2011-02-05 02:27:30" 54.0 51.8840256954 82.1124971666 1.3
41.0 52.2107826151 -8.53190083735 -83.0 52.0 62.6912261648 -8.20256029951 "2011-02-05 02:27:30" 49.0 59.834786228 -8.26336401561 3.8
43.0 53.992080711 -21.2035339064 -92.0 49.0 59.7463312713 -21.4838354435 "2011-02-05 02:27:30" 46.0 56.8701194012 -21.3246706465 3.15
55.0 53.2579819194 -103.377044636 -165.0 64.0 62.490636038 -107.26341307 "2011-02-05 02:27:30" 59.0 57.3447505884 -104.858362914 6.1
50.0 48.2016149537 69.4189973192 -11.0 66.0 66.2424906647 76.8415650233 "2011-02-05 02:27:30" 53.0 51.866718886 70.3502781874 1.7
50.0 48.0953358201 70.227231506 -10.0 66.0 66.1319749673 77.64602134 "2011-02-05 02:27:30" 52.0 50.5545270375 70.8326809925 1.9
56.0 53.452975112 97.1598972701 20.0 66.0 63.8433057643 101.592012048 "2011-02-05 02:27:30" 63.0 60.7918734408 99.9624326321 2.7
58.0 55.6369585017 -108.467830018 -170.0 67.0 64.9472013991 -112.947516869 "2011-02-05 02:57:30" 62.0 59.7726158282 -110.126906231 6.35
