dst_med BndMlon BndEquMlat BndEquTecVal BndPolMlat BndPolTecVal minTecMlat minTecVal BndMLT BndNormMLT
-36.0 238.05 52.33 7.11 61.9 6.77 57.17 4.07 23.5 -0.5
-57.0 207.59 51.68 9.31 61.4 7.44 56.73 4.97 23.5 -0.5
-5.0 290.29 53.31 6.2 62.76 6.89 57.89 4.08 23.6 -0.4
-95.0 263.8 48.46 10.15 57.65 7.79 53.08 4.94 23.6 -0.4
-18.0 298.31 53.1 7.3 62.78 7.24 58.01 4.66 23.6 -0.4
-36.0 237.64 52.23 7.21 61.93 6.77 57.22 4.09 23.6 -0.4
-57.0 206.9 51.68 9.19 61.28 7.32 56.74 4.86 23.6 -0.4
-5.0 291.19 53.11 6.32 62.76 6.92 57.86 4.09 23.7 -0.3
-95.0 270.98 48.65 10.26 57.77 7.69 53.15 4.98 23.7 -0.3
-18.0 297.53 53.09 7.37 62.77 7.22 58.04 4.64 23.7 -0.3
-36.0 234.94 52.14 7.18 61.89 6.73 57.09 4.09 23.7 -0.3
-57.0 208.84 51.39 9.28 60.96 7.53 56.39 4.91 23.7 -0.3
-5.0 286.92 53.26 6.27 62.89 6.96 57.94 4.09 23.8 -0.2
-95.0 259.21 48.52 10.12 57.73 7.87 53.06 5.19 23.8 -0.2
-18.0 295.9 52.94 7.39 62.73 7.22 57.98 4.63 23.8 -0.2
-36.0 231.76 52.07 7.24 61.73 6.73 57.06 4.1 23.8 -0.2
-57.0 208.77 51.55 9.3 61.18 7.48 56.68 4.95 23.8 -0.2
-5.0 289.41 53.13 6.34 62.91 6.99 57.97 4.13 23.9 -0.1
-95.0 248.27 48.72 9.89 57.75 7.64 53.07 4.96 23.9 -0.1
-18.0 293.36 52.87 7.46 62.73 7.28 57.95 4.68 23.9 -0.1
-36.0 226.99 51.98 7.3 61.75 6.72 57.01 4.1 23.9 -0.1
-57.0 208.95 51.6 9.06 61.06 7.47 56.61 4.86 23.9 -0.1
-5.0 291.02 52.89 6.25 62.66 7.02 57.81 4.11 12.24 0.0
-95.0 249.35 48.41 9.63 57.28 7.53 52.82 5.04 11.28 0.0
-18.0 291.24 52.85 7.46 62.83 7.23 58.04 4.63 11.93 0.0
-36.0 227.46 51.99 7.3 61.78 6.73 57.03 4.11 12.12 0.0
-57.0 205.54 51.72 9.07 61.42 7.37 56.82 4.86 12.24 0.0
-5.0 285.79 53.0 6.46 62.91 7.04 57.96 4.17 0.1 0.1
-95.0 256.27 48.49 9.62 57.72 7.63 52.85 4.96 0.1 0.1
-18.0 290.14 52.93 7.53 62.82 7.33 58.03 4.65 0.1 0.1
-36.0 219.54 51.95 7.37 61.79 6.68 57.02 4.1 0.1 0.1
-57.0 212.3 51.37 9.19 60.83 7.28 56.34 4.85 0.1 0.1
-5.0 287.22 53.06 6.45 63.06 7.09 58.09 4.17 0.2 0.2
-95.0 250.57 48.61 9.02 57.61 7.66 52.57 4.97 0.2 0.2
-18.0 284.18 52.9 7.62 62.86 7.38 58.03 4.65 0.2 0.2
-36.0 211.35 51.82 7.38 61.6 6.76 56.87 4.17 0.2 0.2
-57.0 213.79 51.45 8.73 60.96 7.17 56.34 4.83 0.2 0.2
-5.0 288.77 52.86 6.43 62.81 7.19 57.86 4.28 0.3 0.3
-95.0 243.24 48.25 9.37 58.02 7.76 52.51 5.04 0.3 0.3
-18.0 281.37 52.9 7.71 62.84 7.39 58.08 4.72 0.3 0.3
-36.0 211.58 51.78 7.36 61.53 6.62 56.81 4.11 0.3 0.3
-57.0 218.87 51.4 8.65 60.72 7.3 56.3 4.88 0.3 0.3
-5.0 291.72 52.99 6.52 62.85 7.01 58.05 4.13 0.4 0.4
-95.0 237.71 48.28 9.08 57.16 7.71 52.37 4.89 0.4 0.4
-18.0 283.51 52.87 7.67 62.89 7.44 58.08 4.7 0.4 0.4
-36.0 206.6 51.69 7.48 61.5 6.75 56.8 4.16 0.4 0.4
-57.0 215.1 50.96 8.67 60.59 7.37 55.88 4.85 0.4 0.4
-5.0 291.23 52.74 6.59 62.75 6.77 57.95 4.19 0.5 0.5
-95.0 254.69 48.69 9.12 57.78 7.72 52.9 5.0 0.5 0.5
-18.0 277.18 52.79 7.74 62.82 7.43 58.06 4.69 0.5 0.5
-36.0 205.17 51.69 7.35 61.3 6.7 56.67 4.14 0.5 0.5
-57.0 214.05 50.66 8.59 60.34 7.47 55.41 4.89 0.5 0.5
-5.0 292.99 52.9 6.4 62.84 6.76 57.94 4.1 0.6 0.6
-95.0 243.07 48.24 9.01 57.49 8.12 52.52 4.9 0.6 0.6
-18.0 273.86 52.8 7.74 62.72 7.4 58.0 4.77 0.6 0.6
-36.0 200.64 51.72 7.39 61.3 6.79 56.71 4.14 0.6 0.6
-57.0 218.94 51.06 8.5 60.81 7.23 56.04 4.79 0.6 0.6
-5.0 300.3 53.08 6.45 62.85 6.72 58.03 4.04 0.7 0.7
-95.0 256.33 48.48 9.08 57.67 8.07 52.68 4.96 0.7 0.7
-18.0 272.78 52.84 7.7 62.71 7.45 58.03 4.71 0.7 0.7
-36.0 200.56 51.75 7.28 61.29 6.73 56.68 4.11 0.7 0.7
-57.0 225.08 50.44 8.48 60.43 7.22 55.45 4.77 0.7 0.7
-5.0 301.92 52.96 6.36 62.95 6.68 58.03 4.0 0.8 0.8
-95.0 247.0 48.71 8.71 57.89 7.73 53.01 4.96 0.8 0.8
-18.0 272.24 52.79 7.8 62.74 7.34 58.04 4.67 0.8 0.8
-36.0 198.0 51.73 7.33 61.42 6.72 56.67 4.17 0.8 0.8
-57.0 225.47 50.66 8.47 60.17 7.12 55.55 4.73 0.8 0.8
-5.0 296.5 52.74 6.54 62.93 6.83 57.97 4.13 0.9 0.9
-95.0 264.03 49.07 8.76 58.65 7.6 53.45 5.01 0.9 0.9
-18.0 265.29 52.86 7.76 62.75 7.3 58.03 4.68 0.9 0.9
-36.0 198.95 51.92 7.27 61.42 6.57 56.75 4.09 0.9 0.9
-57.0 219.99 50.42 8.58 60.02 7.22 55.34 4.81 0.9 0.9
-5.0 296.97 52.87 6.56 63.12 6.86 58.03 4.08 1.0 1.0
-95.0 257.73 48.74 8.67 58.27 7.94 53.0 5.13 1.0 1.0
-18.0 258.43 52.71 7.72 62.74 7.37 58.0 4.64 1.0 1.0
-36.0 191.73 51.76 7.37 61.34 6.66 56.66 4.19 1.0 1.0
-57.0 215.52 50.17 8.6 59.82 7.12 55.22 4.74 1.0 1.0
-5.0 301.16 52.95 6.48 62.95 6.69 58.08 4.03 1.1 1.1
-95.0 263.13 49.41 8.58 59.19 8.06 53.57 5.17 1.1 1.1
-18.0 251.63 52.65 7.77 62.77 7.37 58.01 4.66 1.1 1.1
-36.0 192.82 51.67 7.28 61.31 6.59 56.63 4.14 1.1 1.1
-57.0 218.5 50.2 8.39 59.57 7.23 55.04 4.76 1.1 1.1
-5.0 295.96 52.81 6.65 63.01 6.67 58.07 4.0 1.2 1.2
-95.0 257.31 48.66 8.08 58.02 7.36 52.81 4.82 1.2 1.2
-18.0 250.95 52.66 7.75 62.77 7.31 57.97 4.66 1.2 1.2
-36.0 193.92 51.77 7.35 61.34 6.62 56.66 4.14 1.2 1.2
-57.0 216.89 50.1 8.1 59.52 7.21 54.82 4.64 1.2 1.2
-5.0 300.31 52.64 6.72 63.05 6.75 58.06 4.08 1.3 1.3
-95.0 270.57 48.93 7.87 58.23 7.79 53.0 4.86 1.3 1.3
-18.0 250.5 52.68 7.86 62.8 7.42 58.07 4.74 1.3 1.3
-36.0 193.97 51.68 7.27 61.14 6.53 56.6 4.12 1.3 1.3
-57.0 226.04 49.89 8.07 59.35 7.33 54.48 4.68 1.3 1.3
-5.0 298.47 52.91 6.61 63.13 6.67 58.26 4.09 1.4 1.4
-95.0 285.28 48.91 8.1 58.02 8.01 53.02 5.06 1.4 1.4
-18.0 244.64 52.81 7.81 62.8 7.37 58.09 4.66 1.4 1.4
-36.0 194.78 51.67 7.39 61.11 6.68 56.62 4.17 1.4 1.4
-57.0 213.62 49.65 8.3 59.41 7.01 54.61 4.54 1.4 1.4
-5.0 294.82 52.78 6.94 63.01 6.68 58.35 4.28 1.5 1.5
-95.0 295.02 48.58 8.15 57.35 7.26 52.54 4.97 1.5 1.5
-18.0 239.25 52.8 7.8 62.78 7.41 58.01 4.69 1.5 1.5
-36.0 201.2 51.54 7.31 61.07 6.62 56.5 4.13 1.5 1.5
-57.0 203.18 49.55 7.86 59.11 7.23 54.19 4.44 1.5 1.5
-5.0 287.94 52.94 6.65 63.01 6.54 58.28 4.05 1.6 1.6
-95.0 292.18 48.8 7.72 58.02 7.48 52.55 4.69 1.6 1.6
-18.0 236.57 52.65 7.85 62.71 7.34 57.99 4.66 1.6 1.6
-36.0 198.79 51.49 7.3 60.94 6.6 56.46 4.15 1.6 1.6
-57.0 201.98 49.48 7.94 59.09 7.07 54.29 4.5 1.6 1.6
-5.0 282.9 52.79 6.79 62.73 6.54 58.14 4.12 1.7 1.7
-95.0 298.48 48.43 7.86 57.52 7.09 52.43 4.6 1.7 1.7
-18.0 231.48 52.68 7.93 62.65 7.47 57.96 4.74 1.7 1.7
-36.0 202.76 51.53 7.4 61.11 6.62 56.54 4.13 1.7 1.7
-57.0 195.11 49.07 7.84 58.53 7.39 53.61 4.5 1.7 1.7
-5.0 265.39 52.99 6.94 63.02 6.47 58.42 4.17 1.8 1.8
-95.0 309.65 47.67 7.77 56.89 7.06 51.74 4.46 1.8 1.8
-18.0 224.51 52.58 7.9 62.5 7.36 57.86 4.69 1.8 1.8
-36.0 204.34 51.51 7.37 60.91 6.58 56.4 4.16 1.8 1.8
-57.0 180.64 49.31 7.88 59.01 7.25 54.01 4.61 1.8 1.8
-5.0 256.6 53.2 6.91 63.06 6.48 58.54 4.15 1.9 1.9
-95.0 307.0 48.32 7.76 57.07 7.23 52.27 4.63 1.9 1.9
-18.0 219.46 52.54 7.89 62.52 7.31 57.85 4.64 1.9 1.9
-36.0 204.58 51.37 7.32 60.89 6.54 56.3 4.08 1.9 1.9
-57.0 165.86 49.38 7.76 58.65 7.41 53.85 4.66 1.9 1.9
-5.0 242.78 53.23 6.82 62.72 6.37 58.37 4.16 2.0 2.0
-18.0 210.93 52.45 7.89 62.49 7.3 57.81 4.67 2.0 2.0
-36.0 200.19 51.36 7.41 61.23 6.69 56.47 4.1 2.0 2.0
-57.0 177.84 48.99 7.71 58.72 7.31 53.78 4.67 2.0 2.0
-5.0 226.37 53.28 6.89 62.86 6.6 58.32 4.29 2.1 2.1
-95.0 279.62 47.9 7.42 56.95 6.66 51.95 4.28 2.1 2.1
-18.0 203.51 52.39 7.94 62.47 7.4 57.78 4.66 2.1 2.1
-36.0 201.07 51.34 7.33 61.14 6.59 56.39 4.07 2.1 2.1
-57.0 176.84 48.95 7.66 58.55 7.48 53.49 4.6 2.1 2.1
-5.0 221.57 53.4 6.81 62.87 6.58 58.47 4.32 2.2 2.2
-18.0 199.06 52.49 7.84 62.45 7.31 57.75 4.65 2.2 2.2
-36.0 196.21 51.5 7.35 61.3 6.69 56.58 4.15 2.2 2.2
-57.0 173.71 48.9 7.63 58.74 7.33 53.62 4.69 2.2 2.2
-5.0 207.77 53.01 6.93 62.69 6.74 58.21 4.28 2.3 2.3
-18.0 188.92 52.57 7.69 62.28 7.36 57.67 4.65 2.3 2.3
-36.0 198.65 51.39 7.37 61.38 6.69 56.54 4.15 2.3 2.3
-57.0 183.75 48.72 7.47 58.45 7.26 53.38 4.72 2.3 2.3
-5.0 195.89 52.75 6.99 62.69 6.78 58.04 4.27 2.4 2.4
-18.0 180.66 52.52 7.76 62.36 7.29 57.78 4.62 2.4 2.4
-36.0 197.31 51.39 7.35 61.36 6.62 56.55 4.12 2.4 2.4
-57.0 136.5 49.11 7.57 58.94 7.1 53.82 4.65 2.4 2.4
-5.0 187.34 52.78 6.89 62.72 6.82 58.07 4.22 2.5 2.5
-95.0 249.76 48.6 6.35 57.12 6.35 52.6 3.9 2.5 2.5
-18.0 172.84 52.53 7.71 62.43 7.35 57.74 4.65 2.5 2.5
-36.0 192.08 51.38 7.28 61.5 6.78 56.56 4.17 2.5 2.5
-57.0 144.88 49.27 7.7 58.74 7.24 53.75 4.85 2.5 2.5
-5.0 169.71 52.65 7.01 62.87 6.82 58.11 4.2 2.6 2.6
-95.0 243.67 48.37 6.39 57.19 6.62 52.56 3.97 2.6 2.6
-18.0 161.58 52.4 7.76 62.35 7.3 57.65 4.62 2.6 2.6
-36.0 191.39 51.39 7.26 61.69 6.79 56.66 4.18 2.6 2.6
-57.0 139.79 49.19 7.85 58.47 7.4 53.75 4.82 2.6 2.6
-5.0 157.59 52.47 7.02 62.78 6.94 57.9 4.25 2.7 2.7
-18.0 160.71 52.48 7.64 62.26 7.36 57.61 4.63 2.7 2.7
-36.0 187.89 51.29 7.19 61.55 6.82 56.54 4.17 2.7 2.7
-57.0 135.12 48.78 7.85 58.24 7.41 53.4 4.79 2.7 2.7
-5.0 161.32 52.77 6.93 62.84 6.72 58.16 4.24 2.8 2.8
-18.0 152.44 52.34 7.75 62.33 7.31 57.6 4.6 2.8 2.8
-36.0 187.43 51.26 7.13 61.3 6.78 56.42 4.24 2.8 2.8
-5.0 141.63 52.43 7.02 62.94 6.83 57.98 4.17 2.9 2.9
-18.0 144.81 52.37 7.77 62.19 7.47 57.51 4.68 2.9 2.9
-36.0 179.17 51.27 7.08 61.32 6.73 56.36 4.31 2.9 2.9
-5.0 146.18 52.39 6.91 62.77 6.8 57.8 4.24 3.0 3.0
-18.0 139.9 52.28 7.74 62.29 7.39 57.52 4.63 3.0 3.0
-36.0 177.44 51.2 7.13 61.37 6.78 56.4 4.36 3.0 3.0
-5.0 132.21 52.59 6.98 62.6 6.94 57.78 4.33 3.1 3.1
-18.0 134.37 52.33 7.69 62.32 7.48 57.5 4.62 3.1 3.1
-36.0 163.45 51.07 7.01 61.18 6.68 56.26 4.3 3.1 3.1
-5.0 134.51 52.59 6.78 62.72 6.91 57.75 4.22 3.2 3.2
-18.0 126.15 52.19 7.76 62.29 7.45 57.5 4.63 3.2 3.2
-36.0 159.48 50.8 7.0 61.19 6.81 56.17 4.35 3.2 3.2
-5.0 116.95 52.38 6.88 62.35 6.85 57.6 4.22 3.3 3.3
-18.0 125.0 52.23 7.68 62.25 7.46 57.43 4.62 3.3 3.3
-36.0 154.73 50.89 7.0 61.21 6.78 56.13 4.32 3.3 3.3
-5.0 112.73 52.69 6.86 62.69 6.85 57.87 4.18 3.4 3.4
-18.0 121.98 52.21 7.61 62.19 7.47 57.36 4.62 3.4 3.4
-36.0 141.05 51.05 6.94 61.02 6.81 56.17 4.39 3.4 3.4
-5.0 109.92 52.19 6.91 62.45 6.86 57.45 4.3 3.5 3.5
-18.0 115.29 52.17 7.53 62.12 7.63 57.23 4.63 3.5 3.5
-36.0 128.67 51.27 6.81 61.19 6.75 56.19 4.31 3.5 3.5
-5.0 104.84 52.51 6.65 62.35 6.81 57.4 4.16 3.6 3.6
-18.0 112.54 52.23 7.48 62.12 7.56 57.22 4.67 3.6 3.6
-36.0 120.43 51.01 6.9 60.91 6.69 56.09 4.31 3.6 3.6
-5.0 93.6 52.65 6.85 62.5 7.15 57.46 4.31 3.7 3.7
-18.0 106.52 52.17 7.43 61.97 7.58 57.06 4.68 3.7 3.7
-36.0 115.87 50.79 6.87 61.12 6.68 55.89 4.34 3.7 3.7
-5.0 95.55 52.47 6.87 62.48 7.12 57.51 4.43 3.8 3.8
-18.0 107.11 52.14 7.34 61.91 7.46 57.09 4.68 3.8 3.8
-36.0 96.81 51.02 6.75 61.15 6.8 55.89 4.34 3.8 3.8
-5.0 82.7 52.61 6.82 62.44 7.18 57.52 4.54 3.9 3.9
-18.0 108.74 51.99 7.42 61.86 7.56 56.93 4.74 3.9 3.9
-36.0 101.02 51.16 6.68 61.02 6.75 55.79 4.3 3.9 3.9
-5.0 78.51 52.51 6.8 62.48 7.12 57.48 4.42 4.0 4.0
-18.0 99.75 52.06 7.44 61.94 7.64 56.95 4.74 4.0 4.0
-5.0 65.15 52.36 6.91 62.17 7.13 57.18 4.67 4.1 4.1
-18.0 105.1 52.13 7.48 61.77 7.52 56.99 4.82 4.1 4.1
-5.0 63.84 52.42 6.94 62.12 6.99 57.51 4.5 4.2 4.2
-18.0 102.31 52.2 7.5 61.85 7.48 57.04 4.73 4.2 4.2
-5.0 62.0 52.44 6.79 61.93 7.07 57.19 4.66 4.3 4.3
-18.0 109.92 52.18 7.5 61.9 7.64 56.96 4.82 4.3 4.3
-5.0 66.33 52.66 6.73 61.93 7.04 57.26 4.62 4.4 4.4
-18.0 99.44 52.18 7.49 61.82 7.67 56.92 4.82 4.4 4.4
-5.0 65.22 52.19 6.96 61.63 7.09 56.95 4.72 4.5 4.5
-18.0 105.55 52.27 7.49 61.79 7.67 57.02 4.86 4.5 4.5
-5.0 70.22 52.31 6.89 61.89 6.93 57.11 4.62 4.6 4.6
-18.0 101.09 52.51 7.68 62.1 7.78 57.34 4.94 4.6 4.6
-5.0 82.72 52.56 6.96 62.31 7.28 57.09 4.62 4.7 4.7
-18.0 98.8 52.44 7.71 62.09 7.86 57.36 4.98 4.7 4.7
-5.0 85.16 52.24 7.18 62.28 6.87 57.36 4.64 4.8 4.8
-18.0 86.09 52.49 7.92 62.2 8.03 57.32 5.02 4.8 4.8
-5.0 81.9 52.28 7.1 62.44 6.94 57.21 4.61 4.9 4.9
-5.0 80.59 52.42 7.09 62.36 6.85 57.44 4.72 5.0 5.0
-5.0 89.89 52.71 7.46 62.64 6.91 57.73 4.61 5.1 5.1
