dst_med BndMlon BndEquMlat BndEquTecVal BndPolMlat BndPolTecVal minTecMlat minTecVal BndMLT BndNormMLT
-95.0 304.96 52.65 11.7 62.05 8.9 57.43 5.28 18.7 -5.3
-18.0 278.66 58.11 9.71 66.69 7.92 63.1 5.84 18.7 -5.3
-36.0 291.44 56.57 8.95 65.25 6.97 61.4 4.89 18.7 -5.3
-57.0 300.58 55.55 9.07 64.43 6.79 60.43 4.68 18.7 -5.3
-5.0 279.05 57.53 9.83 65.41 8.31 61.68 5.68 18.8 -5.2
-95.0 306.63 52.83 10.88 61.94 8.2 57.48 5.09 18.8 -5.2
-18.0 278.33 57.98 9.62 66.63 7.8 63.12 5.74 18.8 -5.2
-36.0 292.49 56.54 8.86 65.25 7.03 61.31 4.86 18.8 -5.2
-57.0 301.03 55.15 9.06 64.01 6.94 59.92 4.65 18.8 -5.2
-5.0 279.16 56.88 9.7 65.17 8.43 61.25 5.65 18.9 -5.1
-95.0 304.96 52.78 11.32 61.79 8.55 57.48 5.35 18.9 -5.1
-18.0 279.45 57.7 9.82 66.38 7.82 62.77 5.82 18.9 -5.1
-36.0 293.11 56.47 8.72 65.03 7.06 61.12 4.81 18.9 -5.1
-57.0 301.84 54.66 9.14 63.48 7.03 59.53 4.8 18.9 -5.1
-5.0 277.93 57.26 9.6 65.51 8.3 61.48 5.55 19.0 -5.0
-95.0 305.75 52.77 10.9 61.84 8.52 57.33 5.16 19.0 -5.0
-18.0 279.61 57.42 9.62 66.15 7.68 62.54 5.79 19.0 -5.0
-36.0 293.91 56.41 8.6 65.02 7.01 60.96 4.75 19.0 -5.0
-57.0 303.11 54.43 8.97 63.32 6.78 59.25 4.59 19.0 -5.0
-5.0 278.38 57.89 9.57 66.04 8.12 62.21 5.4 19.1 -4.9
-95.0 305.89 52.16 11.06 61.24 8.33 56.82 5.13 19.1 -4.9
-18.0 279.56 57.29 9.61 66.16 7.7 62.42 5.81 19.1 -4.9
-36.0 295.77 56.33 8.47 64.98 6.86 60.92 4.69 19.1 -4.9
-57.0 305.31 54.3 8.97 63.16 6.87 59.07 4.55 19.1 -4.9
-5.0 277.22 58.08 9.62 66.26 8.08 62.47 5.36 19.2 -4.8
-95.0 307.8 52.26 10.85 61.32 8.51 56.75 5.02 19.2 -4.8
-18.0 279.48 57.28 9.55 66.08 7.62 62.33 5.72 19.2 -4.8
-36.0 296.36 56.24 8.49 64.84 6.99 60.82 4.76 19.2 -4.8
-57.0 304.09 54.31 8.96 63.15 6.85 59.15 4.48 19.2 -4.8
-5.0 277.81 57.66 9.54 65.84 8.0 61.99 5.21 19.3 -4.7
-95.0 308.49 52.31 10.92 61.44 8.31 56.83 5.06 19.3 -4.7
-18.0 280.88 57.44 9.54 66.02 7.65 62.38 5.67 19.3 -4.7
-36.0 296.64 56.18 8.47 64.75 6.95 60.7 4.75 19.3 -4.7
-57.0 304.5 54.21 9.1 63.07 7.0 59.05 4.58 19.3 -4.7
-5.0 277.34 58.17 9.49 66.17 7.9 62.38 5.18 19.4 -4.6
-95.0 309.84 51.96 11.01 61.21 8.66 56.47 5.02 19.4 -4.6
-18.0 280.42 57.49 9.43 66.08 7.56 62.41 5.62 19.4 -4.6
-36.0 298.21 56.09 8.44 64.66 6.96 60.6 4.75 19.4 -4.6
